source,category,name,stem,extension,relative_path,size_bytes,duration_seconds,tags
400 Sounds Pack,Card and Board,card_draw_1.wav,card_draw_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/card_draw_1.wav,61484,0.348,card_and_board
400 Sounds Pack,Card and Board,card_draw_2.wav,card_draw_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/card_draw_2.wav,41004,0.232,card_and_board
400 Sounds Pack,Card and Board,card_draw_3.wav,card_draw_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/card_draw_3.wav,59436,0.337,card_and_board
400 Sounds Pack,Card and Board,card_fan.wav,card_fan,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/card_fan.wav,69676,0.395,card_and_board
400 Sounds Pack,Card and Board,card_fan_2.wav,card_fan_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/card_fan_2.wav,116780,0.662,card_and_board
400 Sounds Pack,Card and Board,chips_drop.wav,chips_drop,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_drop.wav,208940,1.184,card_and_board
400 Sounds Pack,Card and Board,chips_gather.wav,chips_gather,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_gather.wav,63532,0.36,card_and_board
400 Sounds Pack,Card and Board,chips_gather_2.wav,chips_gather_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_gather_2.wav,118828,0.673,card_and_board
400 Sounds Pack,Card and Board,chips_gather_3.wav,chips_gather_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_gather_3.wav,90156,0.511,card_and_board
400 Sounds Pack,Card and Board,chips_in_sack_shake.wav,chips_in_sack_shake,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_in_sack_shake.wav,421932,2.392,card_and_board
400 Sounds Pack,Card and Board,chips_in_sack_short.wav,chips_in_sack_short,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_in_sack_short.wav,106540,0.604,card_and_board
400 Sounds Pack,Card and Board,chips_place_1.wav,chips_place_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_place_1.wav,59436,0.337,card_and_board
400 Sounds Pack,Card and Board,chips_place_2.wav,chips_place_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_place_2.wav,57388,0.325,card_and_board
400 Sounds Pack,Card and Board,chips_place_3.wav,chips_place_3,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_place_3.wav,26668,0.151,card_and_board
400 Sounds Pack,Card and Board,chips_stack.wav,chips_stack,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_stack.wav,49196,0.279,card_and_board
400 Sounds Pack,Card and Board,chips_stack_2.wav,chips_stack_2,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/chips_stack_2.wav,149436,0.847,card_and_board
400 Sounds Pack,Card and Board,dice_grab.wav,dice_grab,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/dice_grab.wav,59436,0.337,magic
400 Sounds Pack,Card and Board,dice_roll_1.wav,dice_roll_1,.wav,action_rpg_mode/assets/sounds/400 Sounds Pack/Card and Board/dice_roll_1.wav,75820,0.43,magic
